ID,is_outlier_0-0,is_outlier_0-5,is_outlier_1-0,is_outlier_1-5,is_outlier_2-0,is_outlier_2-5,is_outlier_3-0,is_outlier_3-5,is_outlier_4-0,is_outlier_4-5
0,1,1,1,1,0,0,0,0,0,0
6,1,1,0,0,0,0,0,0,0,0
7,1,1,1,1,0,0,0,0,0,0
9,1,1,1,1,0,0,0,0,0,0
13,1,1,1,1,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0
24,1,1,1,1,0,0,0,0,0,0
25,1,1,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0,0,0
30,1,1,1,1,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0
34,1,1,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0,0,0
40,1,1,0,0,0,0,0,0,0,0
44,1,1,0,0,0,0,0,0,0,0
47,1,1,0,0,0,0,0,0,0,0
48,1,1,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0,0,0
50,1,1,0,0,0,0,0,0,0,0
52,1,1,1,0,0,0,0,0,0,0
54,1,1,0,0,0,0,0,0,0,0
60,1,1,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,0,0
62,1,1,0,0,0,0,0,0,0,0
66,1,1,0,0,0,0,0,0,0,0
67,1,1,1,1,0,0,0,0,0,0
68,1,1,1,1,0,0,0,0,0,0
70,1,1,0,0,0,0,0,0,0,0
74,1,1,0,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0
79,1,1,1,0,0,0,0,0,0,0
80,1,1,0,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,0,0,0
86,1,1,1,0,0,0,0,0,0,0
90,1,1,1,1,0,0,0,0,0,0
92,1,1,1,0,0,0,0,0,0,0
100,1,0,0,0,0,0,0,0,0,0
102,1,1,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0,0,0
107,1,1,1,1,1,0,0,0,0,0
108,1,1,0,0,0,0,0,0,0,0
109,1,1,0,0,0,0,0,0,0,0
112,1,1,0,0,0,0,0,0,0,0
116,1,1,0,0,0,0,0,0,0,0
118,1,0,0,0,0,0,0,0,0,0
119,1,1,0,0,0,0,0,0,0,0
124,1,1,1,0,0,0,0,0,0,0
125,1,0,0,0,0,0,0,0,0,0
127,1,1,1,1,0,0,0,0,0,0
128,1,1,0,0,0,0,0,0,0,0
129,1,0,0,0,0,0,0,0,0,0
130,1,1,0,0,0,0,0,0,0,0
131,1,0,0,0,0,0,0,0,0,0
133,1,1,0,0,0,0,0,0,0,0
134,1,0,0,0,0,0,0,0,0,0
136,1,1,0,0,0,0,0,0,0,0
139,1,0,0,0,0,0,0,0,0,0
141,1,1,0,0,0,0,0,0,0,0
143,1,0,0,0,0,0,0,0,0,0
145,1,1,1,0,0,0,0,0,0,0
146,1,1,0,0,0,0,0,0,0,0
147,1,1,1,0,0,0,0,0,0,0
150,1,1,0,0,0,0,0,0,0,0
151,1,1,0,0,0,0,0,0,0,0
152,1,1,0,0,0,0,0,0,0,0
153,1,1,1,0,0,0,0,0,0,0
154,1,1,0,0,0,0,0,0,0,0
158,1,1,1,0,0,0,0,0,0,0
159,1,1,1,0,0,0,0,0,0,0
160,1,1,1,1,0,0,0,0,0,0
161,1,1,0,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0,0,0,0
165,1,1,0,0,0,0,0,0,0,0
166,1,1,0,0,0,0,0,0,0,0
168,1,1,0,0,0,0,0,0,0,0
169,1,0,0,0,0,0,0,0,0,0
170,1,0,0,0,0,0,0,0,0,0
171,1,1,1,0,0,0,0,0,0,0
173,1,0,0,0,0,0,0,0,0,0
174,1,0,0,0,0,0,0,0,0,0
175,1,0,0,0,0,0,0,0,0,0
176,1,1,0,0,0,0,0,0,0,0
177,1,0,0,0,0,0,0,0,0,0
178,1,0,0,0,0,0,0,0,0,0
184,1,0,0,0,0,0,0,0,0,0
186,1,1,0,0,0,0,0,0,0,0
190,1,1,1,0,0,0,0,0,0,0
197,1,1,1,1,0,0,0,0,0,0
200,1,1,1,0,0,0,0,0,0,0
202,1,0,0,0,0,0,0,0,0,0
203,1,1,0,0,0,0,0,0,0,0
207,1,1,1,0,0,0,0,0,0,0
208,1,1,0,0,0,0,0,0,0,0
209,1,1,0,0,0,0,0,0,0,0
212,1,1,1,1,0,0,0,0,0,0
213,1,0,0,0,0,0,0,0,0,0
214,1,1,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,0,0
217,1,1,0,0,0,0,0,0,0,0
218,1,1,0,0,0,0,0,0,0,0
222,1,0,0,0,0,0,0,0,0,0
223,1,1,0,0,0,0,0,0,0,0
224,1,1,0,0,0,0,0,0,0,0
225,1,1,0,0,0,0,0,0,0,0
229,1,1,0,0,0,0,0,0,0,0
232,1,1,1,0,0,0,0,0,0,0
233,1,1,0,0,0,0,0,0,0,0
234,1,1,1,1,0,0,0,0,0,0
237,1,0,0,0,0,0,0,0,0,0
239,1,0,0,0,0,0,0,0,0,0
240,1,1,1,0,0,0,0,0,0,0
241,1,1,0,0,0,0,0,0,0,0
246,1,1,0,0,0,0,0,0,0,0
252,1,1,0,0,0,0,0,0,0,0
255,1,1,1,0,0,0,0,0,0,0
260,1,1,1,0,0,0,0,0,0,0
261,1,1,0,0,0,0,0,0,0,0
263,1,1,0,0,0,0,0,0,0,0
264,1,0,0,0,0,0,0,0,0,0
265,1,1,1,0,0,0,0,0,0,0
268,1,1,0,0,0,0,0,0,0,0
269,1,1,1,0,0,0,0,0,0,0
270,1,1,0,0,0,0,0,0,0,0
271,1,0,0,0,0,0,0,0,0,0
274,1,0,0,0,0,0,0,0,0,0
277,1,1,0,0,0,0,0,0,0,0
278,1,0,0,0,0,0,0,0,0,0
281,1,0,0,0,0,0,0,0,0,0
282,1,1,0,0,0,0,0,0,0,0
284,1,1,0,0,0,0,0,0,0,0
286,1,0,0,0,0,0,0,0,0,0
287,1,0,0,0,0,0,0,0,0,0
294,1,1,0,0,0,0,0,0,0,0
295,1,1,1,0,0,0,0,0,0,0
300,1,0,0,0,0,0,0,0,0,0
301,1,0,0,0,0,0,0,0,0,0
302,1,1,0,0,0,0,0,0,0,0
303,1,1,1,0,0,0,0,0,0,0
308,1,1,0,0,0,0,0,0,0,0
309,1,0,0,0,0,0,0,0,0,0
310,1,0,0,0,0,0,0,0,0,0
312,1,0,0,0,0,0,0,0,0,0
315,1,1,0,0,0,0,0,0,0,0
317,1,1,0,0,0,0,0,0,0,0
318,1,1,0,0,0,0,0,0,0,0
319,1,1,0,0,0,0,0,0,0,0
320,1,1,0,0,0,0,0,0,0,0
321,1,1,1,0,0,0,0,0,0,0
322,1,1,0,0,0,0,0,0,0,0
323,1,0,0,0,0,0,0,0,0,0
325,1,0,0,0,0,0,0,0,0,0
326,1,0,0,0,0,0,0,0,0,0
328,1,1,1,0,0,0,0,0,0,0
331,1,1,0,0,0,0,0,0,0,0
332,1,1,0,0,0,0,0,0,0,0
333,1,1,1,0,0,0,0,0,0,0
334,1,1,0,0,0,0,0,0,0,0
335,1,0,0,0,0,0,0,0,0,0
336,1,0,0,0,0,0,0,0,0,0
341,1,0,0,0,0,0,0,0,0,0
342,1,1,0,0,0,0,0,0,0,0
344,1,1,0,0,0,0,0,0,0,0
348,1,0,0,0,0,0,0,0,0,0
351,1,1,1,0,0,0,0,0,0,0
355,1,1,0,0,0,0,0,0,0,0
356,1,1,0,0,0,0,0,0,0,0
359,1,1,0,0,0,0,0,0,0,0
360,1,0,0,0,0,0,0,0,0,0
361,1,1,1,0,0,0,0,0,0,0
363,1,1,0,0,0,0,0,0,0,0
369,1,0,0,0,0,0,0,0,0,0
371,1,1,0,0,0,0,0,0,0,0
372,1,1,1,1,0,0,0,0,0,0
374,1,0,0,0,0,0,0,0,0,0
375,1,0,0,0,0,0,0,0,0,0
376,1,1,1,0,0,0,0,0,0,0
379,1,1,0,0,0,0,0,0,0,0
380,1,1,0,0,0,0,0,0,0,0
381,1,0,0,0,0,0,0,0,0,0
383,1,1,0,0,0,0,0,0,0,0
385,1,1,1,1,0,0,0,0,0,0
386,1,1,0,0,0,0,0,0,0,0
387,1,1,1,0,0,0,0,0,0,0
388,1,0,0,0,0,0,0,0,0,0
389,1,0,0,0,0,0,0,0,0,0
391,1,1,0,0,0,0,0,0,0,0
394,1,1,1,1,0,0,0,0,0,0
397,1,1,0,0,0,0,0,0,0,0
398,1,0,0,0,0,0,0,0,0,0
400,1,1,0,0,0,0,0,0,0,0
401,1,1,0,0,0,0,0,0,0,0
402,1,1,0,0,0,0,0,0,0,0
403,1,1,1,0,0,0,0,0,0,0
404,1,1,0,0,0,0,0,0,0,0
405,1,1,0,0,0,0,0,0,0,0
407,1,0,0,0,0,0,0,0,0,0
411,1,0,0,0,0,0,0,0,0,0
414,1,1,1,0,0,0,0,0,0,0
415,1,0,0,0,0,0,0,0,0,0
416,1,1,1,1,1,0,0,0,0,0
417,1,1,0,0,0,0,0,0,0,0
418,1,0,0,0,0,0,0,0,0,0
422,1,1,1,0,0,0,0,0,0,0
423,1,0,0,0,0,0,0,0,0,0
424,1,1,1,1,0,0,0,0,0,0
425,1,1,1,0,0,0,0,0,0,0
426,1,1,0,0,0,0,0,0,0,0
427,1,1,0,0,0,0,0,0,0,0
428,1,1,0,0,0,0,0,0,0,0
429,1,0,0,0,0,0,0,0,0,0
431,1,1,0,0,0,0,0,0,0,0
432,1,1,0,0,0,0,0,0,0,0
433,1,1,1,1,1,1,0,0,0,0
435,1,1,0,0,0,0,0,0,0,0
441,1,1,1,0,0,0,0,0,0,0
442,1,1,0,0,0,0,0,0,0,0
444,1,1,0,0,0,0,0,0,0,0
445,1,1,1,0,0,0,0,0,0,0
447,1,0,0,0,0,0,0,0,0,0
449,1,1,1,1,0,0,0,0,0,0
450,1,1,0,0,0,0,0,0,0,0
451,1,1,1,1,1,0,0,0,0,0
454,1,1,0,0,0,0,0,0,0,0
455,1,1,1,1,1,0,0,0,0,0
456,1,0,0,0,0,0,0,0,0,0
461,1,0,0,0,0,0,0,0,0,0
463,1,0,0,0,0,0,0,0,0,0
466,1,1,0,0,0,0,0,0,0,0
468,1,0,0,0,0,0,0,0,0,0
469,1,0,0,0,0,0,0,0,0,0
470,1,0,0,0,0,0,0,0,0,0
474,1,1,0,0,0,0,0,0,0,0
476,1,1,0,0,0,0,0,0,0,0
477,1,1,0,0,0,0,0,0,0,0
478,1,1,1,0,0,0,0,0,0,0
479,1,0,0,0,0,0,0,0,0,0
481,1,1,1,0,0,0,0,0,0,0
482,1,1,0,0,0,0,0,0,0,0
483,1,1,1,0,0,0,0,0,0,0
484,1,0,0,0,0,0,0,0,0,0
485,1,0,0,0,0,0,0,0,0,0
486,1,1,1,0,0,0,0,0,0,0
487,1,1,0,0,0,0,0,0,0,0
489,1,1,0,0,0,0,0,0,0,0
494,1,1,1,1,0,0,0,0,0,0
495,1,1,0,0,0,0,0,0,0,0
496,1,1,0,0,0,0,0,0,0,0
503,1,1,0,0,0,0,0,0,0,0
504,1,1,1,1,0,0,0,0,0,0
505,1,1,1,1,1,1,0,0,0,0
507,1,1,0,0,0,0,0,0,0,0
508,1,0,0,0,0,0,0,0,0,0
509,1,1,0,0,0,0,0,0,0,0
513,1,1,1,0,0,0,0,0,0,0
514,1,0,0,0,0,0,0,0,0,0
515,1,1,0,0,0,0,0,0,0,0
517,1,1,1,0,0,0,0,0,0,0
520,1,1,0,0,0,0,0,0,0,0
523,1,1,0,0,0,0,0,0,0,0
524,1,1,0,0,0,0,0,0,0,0
525,1,1,0,0,0,0,0,0,0,0
527,1,0,0,0,0,0,0,0,0,0
528,1,1,1,1,0,0,0,0,0,0
